table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,30,30,RecentScan,16.270084,,30.0,,,,0,3,RecentScan
ivmh,No Repair,31,31,RecentScan,16.309,,31.0,,,,0,3,RecentScan
ivmh,No Repair,32,32,RecentScan,17.013208,,32.0,,,,0,3,RecentScan
ivmh,No Repair,33,33,RecentScan,15.343958,,33.0,,,,0,3,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,3,
ivmh,No Repair,35,35,Update,0.010708,6.0,,,,,0,3,Update
ivmh,No Repair,0,0,InitLoad,15.063375,60000.0,,,,,1,3,BuildCUR
ivmh,No Repair,1,1,RecentScan,17.919583,,1.0,,,,1,3,RecentScan
ivmh,No Repair,2,2,RecentScan,17.152875,,2.0,,,,1,3,RecentScan
ivmh,No Repair,3,3,RecentScan,16.1305,,3.0,,,,1,3,RecentScan
ivmh,No Repair,4,4,RecentScan,16.062125,,4.0,,,,1,3,RecentScan
ivmh,No Repair,5,5,RecentScan,18.321333,,5.0,,,,1,3,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,1,3,
ivmh,No Repair,7,7,Update,0.014459,6.0,,,,,1,3,Update
ivmh,No Repair,8,8,MarkTs,51.557709,,6.0,,,HistoryScan,1,3,BuildSnap
ivmh,No Repair,8,8,HistoryScan,20.180708,,6.0,,,,1,3,HistoryScan
ivmh,No Repair,9,9,RecentScan,18.026833,,9.0,,,,1,3,RecentScan
ivmh,No Repair,10,10,RecentScan,16.07925,,10.0,,,,1,3,RecentScan
ivmh,No Repair,11,11,RecentScan,16.552667,,11.0,,,,1,3,RecentScan
ivmh,No Repair,12,12,RecentScan,15.570459,,12.0,,,,1,3,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,3,
ivmh,No Repair,14,14,Update,0.01325,6.0,,,,,1,3,Update
ivmh,No Repair,15,15,MarkTs,51.278208,,13.0,,,HistoryScan,1,3,BuildSnap
ivmh,No Repair,15,15,HistoryScan,19.504042,,13.0,,,,1,3,HistoryScan
ivmh,No Repair,16,16,RecentScan,17.235208,,16.0,,,,1,3,RecentScan
ivmh,No Repair,17,17,RecentScan,17.647459,,17.0,,,,1,3,RecentScan
ivmh,No Repair,18,18,RecentScan,16.568958,,18.0,,,,1,3,RecentScan
ivmh,No Repair,19,19,RecentScan,18.605,,19.0,,,,1,3,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,3,
ivmh,No Repair,21,21,Update,0.014375,6.0,,,,,1,3,Update
ivmh,No Repair,22,22,MarkTs,50.398125,,20.0,,,HistoryScan,1,3,BuildSnap
ivmh,No Repair,22,22,HistoryScan,20.14875,,20.0,,,,1,3,HistoryScan
ivmh,No Repair,23,23,RecentScan,15.379458,,23.0,,,,1,3,RecentScan
ivmh,No Repair,24,24,RecentScan,17.581583,,24.0,,,,1,3,RecentScan
ivmh,No Repair,25,25,RecentScan,18.402833,,25.0,,,,1,3,RecentScan
ivmh,No Repair,26,26,RecentScan,14.611667,,26.0,,,,1,3,RecentScan
ivmh,No Repair,27,27,MarkTs,0.00175,,27.0,,,,1,3,
ivmh,No Repair,28,28,Update,0.013208000000000001,6.0,,,,,1,3,Update
ivmh,No Repair,29,29,RecentScan,15.117667,,29.0,,,,1,3,RecentScan
ivmh,No Repair,30,30,RecentScan,18.374292,,30.0,,,,1,3,RecentScan
ivmh,No Repair,31,31,RecentScan,17.60675,,31.0,,,,1,3,RecentScan
ivmh,No Repair,32,32,RecentScan,15.573917,,32.0,,,,1,3,RecentScan
ivmh,No Repair,33,33,RecentScan,14.7765,,33.0,,,,1,3,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,3,
ivmh,No Repair,35,35,Update,0.009875,6.0,,,,,1,3,Update
ivmh,No Repair,0,0,InitLoad,14.43275,60000.0,,,,,0,4,BuildCUR
ivmh,No Repair,1,1,RecentScan,17.9555,,1.0,,,,0,4,RecentScan
ivmh,No Repair,2,2,RecentScan,17.715833,,2.0,,,,0,4,RecentScan
ivmh,No Repair,3,3,RecentScan,16.315167,,3.0,,,,0,4,RecentScan
ivmh,No Repair,4,4,RecentScan,16.106458,,4.0,,,,0,4,RecentScan
ivmh,No Repair,5,5,RecentScan,16.192333,,5.0,,,,0,4,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001459,,6.0,,,,0,4,
ivmh,No Repair,7,7,Update,0.014916,6.0,,,,,0,4,Update
ivmh,No Repair,8,8,MarkTs,51.680292,,6.0,,,HistoryScan,0,4,BuildSnap
ivmh,No Repair,8,8,HistoryScan,18.701375,,6.0,,,,0,4,HistoryScan
ivmh,No Repair,9,9,RecentScan,16.982334,,9.0,,,,0,4,RecentScan
ivmh,No Repair,10,10,RecentScan,16.411833,,10.0,,,,0,4,RecentScan
ivmh,No Repair,11,11,RecentScan,17.731708,,11.0,,,,0,4,RecentScan
ivmh,No Repair,12,12,RecentScan,17.904208,,12.0,,,,0,4,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,4,
ivmh,No Repair,14,14,Update,0.011084,6.0,,,,,0,4,Update
ivmh,No Repair,15,15,MarkTs,47.9805,,13.0,,,HistoryScan,0,4,BuildSnap
ivmh,No Repair,15,15,HistoryScan,18.195333,,13.0,,,,0,4,HistoryScan
ivmh,No Repair,16,16,RecentScan,18.623375,,16.0,,,,0,4,RecentScan
ivmh,No Repair,17,17,RecentScan,17.703041,,17.0,,,,0,4,RecentScan
ivmh,No Repair,18,18,RecentScan,16.5415,,18.0,,,,0,4,RecentScan
ivmh,No Repair,19,19,RecentScan,16.966333,,19.0,,,,0,4,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,4,
